7.7946 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
41.3293 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
46.7589 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002AF63C2FD30>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002AF68B7BD60>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
46.7591 	EXP 	window1: mouseVisible = True
46.7593 	EXP 	window1: mouseVisible = False
46.7593 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
46.7594 	EXP 	window1: recordFrameIntervals = False
46.9241 	EXP 	window1: recordFrameIntervals = True
47.1079 	EXP 	Screen (0) actual frame rate measured at 60.05Hz
47.1080 	EXP 	window1: recordFrameIntervals = False
54.3900 	EXP 	Created polygon = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='polygon', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
54.5667 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.3, 0.3, 0.3]), colorSpace='rgb', contrast=0.3, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.2, 0.2]), tex='sin', texRes=128.0, units='height', win=Window(...))
54.6455 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
54.6469 	EXP 	New trial (rep=0, index=0): None
54.7532 	EXP 	grating: ori = 0.0
54.7532 	EXP 	polygon: autoDraw = True
55.7134 	EXP 	grating: autoDraw = True
55.7134 	EXP 	grating: tex = 'sin'
55.7661 	EXP 	polygon: autoDraw = False
56.0158 	EXP 	grating: autoDraw = False
56.2545 	EXP 	New trial (rep=1, index=0): None
56.2578 	DATA 	Keypress: up
56.2601 	EXP 	polygon: autoDraw = False
56.2601 	EXP 	grating: autoDraw = False
56.2601 	EXP 	grating: ori = 0.0
56.2601 	EXP 	polygon: autoDraw = True
57.2646 	EXP 	polygon: autoDraw = False
57.2646 	EXP 	grating: autoDraw = True
57.5640 	EXP 	grating: autoDraw = False
57.9026 	EXP 	New trial (rep=2, index=0): None
57.9067 	DATA 	Keypress: up
57.9139 	EXP 	polygon: autoDraw = False
57.9139 	EXP 	grating: autoDraw = False
57.9139 	EXP 	grating: ori = 0.0
57.9139 	EXP 	polygon: autoDraw = True
58.9131 	EXP 	polygon: autoDraw = False
58.9131 	EXP 	grating: autoDraw = True
59.2125 	EXP 	grating: autoDraw = False
