trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,21,20,up,0.005,db,0.049942468496825265,0.0007221999985631555,64.585867900023,64.585867900023,64.88532000000123,0,0,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,22,21,up,0.005,db,0.049971225968964014,0.0008113999792840332,67.00012169999536,67.00012169999536,67.29972870001802,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,23,22,up,0.005,db,0.049971225968964014,0.0008430999878328294,69.4483145000122,69.4483145000122,69.74767840001732,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,24,23,up,0.005,db,0.049971225968964014,0.0008104000007733703,71.87911209999584,71.87911209999584,72.17855730000883,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,25,24,down,0.005,db,0.049942468496825265,0.0008719000034034252,74.19366040002205,74.19366040002205,74.49314520001644,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,26,25,down,0.005,db,0.049942468496825265,0.000832499994430691,76.4915042000066,76.4915042000066,76.79113110000617,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,27,26,down,0.005,db,0.049942468496825265,0.000736100017093122,78.85583240000415,78.85583240000415,79.15526369999861,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,28,27,down,0.005,db,0.049913727574054434,0.0008024999988265336,81.22033350000856,81.22033350000856,81.51994260001811,0,0,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,29,28,up,0.005,db,0.049942468496825265,0.0008448000007774681,83.63469269999769,83.63469269999769,83.9343552000064,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,30,29,up,0.005,db,0.049942468496825265,0.0007851999835111201,86.03253260001657,86.03253260001657,86.33219830002054,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,31,30,up,0.005,db,0.049942468496825265,0.0008258000016212463,88.41379630001029,88.41379630001029,88.7127706000174,0,0,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,32,31,up,0.005,db,0.049971225968964014,0.0007296999974641949,90.76157110001077,90.76157110001077,91.06097190000582,0,0,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,33,32,up,0.005,db,0.05,0.0006892999808769673,93.17593170001055,93.17593170001055,93.47552649999852,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,34,33,up,0.005,db,0.05,0.0008079000108409673,95.57377300001099,95.57377300001099,95.8730862000084,1,1,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,35,34,up,0.005,db,0.05,0.000540599983651191,97.93795360001968,97.93795360001968,98.23771430001943,0,0,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,36,35,up,0.005,db,0.05002879059946805,0.0008968999900389463,100.33595500001684,100.33595500001684,100.63580780001939,0,0,4,001,2022-09-08_21h43.12.546,T11,2022.2.2,60.074239740794425,
