35.0248 	EXP 	fixation: autoDraw = True
36.0287 	EXP 	fixation: autoDraw = False
36.0456 	EXP 	grating: autoDraw = True
36.0456 	EXP 	grating: tex = 'sin'
36.3451 	EXP 	grating: autoDraw = False
36.4144 	EXP 	window1: recordFrameIntervals = False
36.4158 	DATA 	Keypress: right
36.4286 	EXP 	fixation: autoDraw = False
36.4286 	EXP 	grating: autoDraw = False
36.4288 	EXP 	window1: recordFrameIntervals = False
37.4052 	EXP 	fixation: autoDraw = True
38.4100 	EXP 	fixation: autoDraw = False
38.4268 	EXP 	grating: autoDraw = True
38.4268 	EXP 	grating: tex = 'sin'
38.7262 	EXP 	grating: autoDraw = False
38.7621 	EXP 	window1: recordFrameIntervals = False
38.7635 	DATA 	Keypress: left
38.7764 	EXP 	fixation: autoDraw = False
38.7764 	EXP 	grating: autoDraw = False
38.7767 	EXP 	window1: recordFrameIntervals = False
39.7525 	EXP 	fixation: autoDraw = True
40.7578 	EXP 	fixation: autoDraw = False
40.7746 	EXP 	grating: autoDraw = True
40.7746 	EXP 	grating: tex = 'sin'
41.0741 	EXP 	grating: autoDraw = False
41.1104 	EXP 	window1: recordFrameIntervals = False
41.1118 	DATA 	Keypress: left
41.1241 	EXP 	fixation: autoDraw = False
41.1241 	EXP 	grating: autoDraw = False
41.1244 	EXP 	window1: recordFrameIntervals = False
42.1015 	EXP 	fixation: autoDraw = True
43.1055 	EXP 	fixation: autoDraw = False
43.1225 	EXP 	grating: autoDraw = True
43.1225 	EXP 	grating: tex = 'sin'
43.4218 	EXP 	grating: autoDraw = False
43.4581 	EXP 	window1: recordFrameIntervals = False
43.4595 	DATA 	Keypress: left
43.4719 	EXP 	fixation: autoDraw = False
43.4719 	EXP 	grating: autoDraw = False
43.4722 	EXP 	window1: recordFrameIntervals = False
44.4490 	EXP 	fixation: autoDraw = True
45.4534 	EXP 	fixation: autoDraw = False
45.4703 	EXP 	grating: autoDraw = True
45.4703 	EXP 	grating: tex = 'sin'
45.7697 	EXP 	grating: autoDraw = False
45.8055 	EXP 	window1: recordFrameIntervals = False
45.8069 	DATA 	Keypress: left
