14.4493 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
76.9079 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
81.6953 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001FA5886DE80>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001FA5B7EBEE0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
81.6955 	EXP 	window1: mouseVisible = True
81.6957 	EXP 	window1: mouseVisible = False
81.6958 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
81.6958 	EXP 	window1: recordFrameIntervals = False
81.8610 	EXP 	window1: recordFrameIntervals = True
82.0441 	EXP 	Screen (0) actual frame rate measured at 60.17Hz
82.0442 	EXP 	window1: recordFrameIntervals = False
88.1241 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
88.3119 	EXP 	Created deal = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='deal', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
88.3200 	EXP 	Imported C:/Users/Kinnari Kamani/Desktop/Monsoon 2022/PSY310 Lab in Psych/Tutorials_Exp/excel/discounting.xlsx as conditions, 10 conditions, 3 params
88.3722 	EXP 	Created sequence: random, trialTypes=10, nReps=1, seed=None
88.3733 	EXP 	New trial (rep=0, index=0): {'reward_today': 40, 'future_reward': 55, 'delay': 62}
89.1732 	EXP 	deal: height = 0.05
89.1732 	EXP 	deal: height = 0.05
89.1732 	EXP 	deal: height = 0.05
89.1732 	EXP 	deal: text = 'GBP 40 today or  GBP 55 after 62 days'
89.1732 	EXP 	fixation: autoDraw = True
89.3373 	EXP 	deal: autoDraw = True
90.1863 	EXP 	fixation: autoDraw = False
97.3206 	EXP 	New trial (rep=0, index=1): {'reward_today': 67, 'future_reward': 75, 'delay': 119}
97.3469 	DATA 	Keypress: l
97.3495 	EXP 	fixation: autoDraw = False
97.3495 	EXP 	deal: autoDraw = False
97.3495 	EXP 	deal: height = 0.05
97.3495 	EXP 	deal: height = 0.05
97.3495 	EXP 	deal: height = 0.05
97.3495 	EXP 	deal: text = 'GBP 67 today or  GBP 75 after 119 days'
97.3495 	EXP 	fixation: autoDraw = True
98.3286 	EXP 	deal: autoDraw = True
98.3621 	EXP 	fixation: autoDraw = False
105.4570 	EXP 	New trial (rep=0, index=2): {'reward_today': 11, 'future_reward': 30, 'delay': 7}
105.4705 	DATA 	Keypress: t
105.4726 	EXP 	fixation: autoDraw = False
105.4726 	EXP 	deal: autoDraw = False
105.4726 	EXP 	deal: height = 0.05
105.4726 	EXP 	deal: height = 0.05
105.4726 	EXP 	deal: height = 0.05
105.4726 	EXP 	deal: text = 'GBP 11 today or  GBP 30 after 7 days'
105.4726 	EXP 	fixation: autoDraw = True
106.4710 	EXP 	deal: autoDraw = True
106.4879 	EXP 	fixation: autoDraw = False
113.0009 	EXP 	New trial (rep=0, index=3): {'reward_today': 49, 'future_reward': 60, 'delay': 89}
113.0177 	DATA 	Keypress: l
113.0200 	EXP 	fixation: autoDraw = False
113.0200 	EXP 	deal: autoDraw = False
113.0200 	EXP 	deal: height = 0.05
113.0200 	EXP 	deal: height = 0.05
113.0200 	EXP 	deal: height = 0.05
113.0200 	EXP 	deal: text = 'GBP 49 today or  GBP 60 after 89 days'
113.0200 	EXP 	fixation: autoDraw = True
114.0142 	EXP 	deal: autoDraw = True
114.0309 	EXP 	fixation: autoDraw = False
119.3785 	EXP 	New trial (rep=0, index=4): {'reward_today': 15, 'future_reward': 35, 'delay': 13}
119.3894 	DATA 	Keypress: l
119.3925 	EXP 	fixation: autoDraw = False
119.3925 	EXP 	deal: autoDraw = False
119.3925 	EXP 	deal: height = 0.05
119.3925 	EXP 	deal: height = 0.05
119.3925 	EXP 	deal: height = 0.05
119.3925 	EXP 	deal: text = 'GBP 15 today or  GBP 35 after 13 days'
119.3925 	EXP 	fixation: autoDraw = True
120.3914 	EXP 	fixation: autoDraw = False
120.3914 	EXP 	deal: autoDraw = True
123.2914 	EXP 	New trial (rep=0, index=5): {'reward_today': 89, 'future_reward': 92, 'delay': 165}
123.3023 	DATA 	Keypress: l
123.3054 	EXP 	fixation: autoDraw = False
123.3054 	EXP 	deal: autoDraw = False
123.3054 	EXP 	deal: height = 0.05
123.3054 	EXP 	deal: height = 0.05
123.3054 	EXP 	deal: height = 0.05
123.3054 	EXP 	deal: text = 'GBP 89 today or  GBP 92 after 165 days'
123.3054 	EXP 	fixation: autoDraw = True
124.3046 	EXP 	fixation: autoDraw = False
124.3046 	EXP 	deal: autoDraw = True
129.7691 	EXP 	New trial (rep=0, index=6): {'reward_today': 95, 'future_reward': 105, 'delay': 180}
129.7812 	DATA 	Keypress: t
129.7838 	EXP 	fixation: autoDraw = False
129.7838 	EXP 	deal: autoDraw = False
129.7838 	EXP 	deal: height = 0.05
129.7838 	EXP 	deal: height = 0.05
129.7838 	EXP 	deal: height = 0.05
129.7838 	EXP 	deal: text = 'GBP 95 today or  GBP 105 after 180 days'
129.7838 	EXP 	fixation: autoDraw = True
130.7820 	EXP 	deal: autoDraw = True
130.7986 	EXP 	fixation: autoDraw = False
140.3946 	DATA 	Keypress: t
140.4094 	EXP 	New trial (rep=0, index=7): {'reward_today': 27, 'future_reward': 50, 'delay': 21}
140.4248 	EXP 	fixation: autoDraw = False
140.4248 	EXP 	deal: autoDraw = False
140.4248 	EXP 	deal: height = 0.05
140.4248 	EXP 	deal: height = 0.05
140.4248 	EXP 	deal: height = 0.05
140.4248 	EXP 	deal: text = 'GBP 27 today or  GBP 50 after 21 days'
140.4248 	EXP 	fixation: autoDraw = True
141.4221 	EXP 	deal: autoDraw = True
141.4384 	EXP 	fixation: autoDraw = False
144.1887 	EXP 	New trial (rep=0, index=8): {'reward_today': 78, 'future_reward': 80, 'delay': 162}
144.2007 	DATA 	Keypress: l
144.2032 	EXP 	fixation: autoDraw = False
144.2032 	EXP 	deal: autoDraw = False
144.2032 	EXP 	deal: height = 0.05
144.2032 	EXP 	deal: height = 0.05
144.2032 	EXP 	deal: height = 0.05
144.2032 	EXP 	deal: text = 'GBP 78 today or  GBP 80 after 162 days'
144.2032 	EXP 	fixation: autoDraw = True
145.2020 	EXP 	deal: autoDraw = True
145.2184 	EXP 	fixation: autoDraw = False
152.9307 	EXP 	New trial (rep=0, index=9): {'reward_today': 103, 'future_reward': 110, 'delay': 200}
152.9430 	DATA 	Keypress: t
152.9456 	EXP 	fixation: autoDraw = False
152.9456 	EXP 	deal: autoDraw = False
152.9456 	EXP 	deal: height = 0.05
152.9456 	EXP 	deal: height = 0.05
152.9456 	EXP 	deal: height = 0.05
152.9456 	EXP 	deal: text = 'GBP 103 today or  GBP 110 after 200 days'
152.9456 	EXP 	fixation: autoDraw = True
153.9439 	EXP 	deal: autoDraw = True
153.9605 	EXP 	fixation: autoDraw = False
164.7869 	DATA 	Keypress: l
164.8004 	EXP 	fixation: autoDraw = False
164.8004 	EXP 	deal: autoDraw = False
165.1084 	EXP 	window1: mouseVisible = True
